,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
47,2,China,Chongqing,223,重庆市223例新型冠状病毒肺炎患者的临床特征分析,西南大学学报(自然科学版),袁婧，孙艳雨，左玉洁，陈婷颖，曹齐，袁国丹，杨梅，张维，彭安周，陈 耀凯,,Chinese,,Irra,,1/24/2020,2/23/2020,30,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,Both,,56.4,,44,68.8,,58.10%,,35.50%,12.90%,,,,,6,,,,16.10%,,45.20%,12.90%,25.80%,0,,0,,,,6.50%,16.10%,,,87.10%,,,58.10%,48.40%,3.20%,22.60%,6.50%,6.50%,,0,,,,,,,,,,,,,130.1,,,,,,68.2,1,,,211.8,,,,17.5,,,,34,60,,,,,,,,,,,,,,,,,,,100%,,,,,,,,25.80%,,38.70%,9.70%,,54.80%,,,,,,,,,,,,,,,,,,,,35.50%,,16.4,13.9,0.00%,0.00%,,,
48,0,China,Jiangxi,49,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,1/21/2020,1/27/2020,6,Top-level,All,Positive only,,,,,,All,,,42.9,,,,,67.32%,93.89%,,,4.7,,,,6.7,,,,6.12%,,28.60%,12.20%,4.10%,,,,,,,12.20%,,,,78.70%,37.1,39.1,38.80%,,12.20%,,,18.40%,,4.10%,,,14.90%,16.30%,,,81.63%,,,5.52,,,,,,,,,,,,,,,,,,,,3.84,22.7,27.4,,27.77,,,,,,,,312.16,174.74,,,,,,,,15.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,China,Jiangxi,40,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,1/21/2020,1/27/2020,6,Subgroup,Common,Positive only,,,,,,Mild only,,,40.6,,,,,62.50%,97.50%,,,4.7,,,,,,,,7.50%,,,5.00%,0,,,,,,,15%,,,,80.00%,37.2,,32.50%,,10.00%,7.50%,,15.00%,,5.00%,,,17.50%,12.50%,,,,,,4.61,,,,,,,,,,,,,,,,,,,,2.96,20.7,25.1,,16.05,,,,,,,,352.75,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,China,Jiangxi,9,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,1/21/2020,1/27/2020,6,Subgroup,Severe/Critical,Positive only,,,,,,Severe/Critical Only,,,53,,,,,88.90%,77.78%,,,4.5,,,,,,,,0,,,44.44%,22.22%,,,,,,,,,,,66.67%,36.9,,66.67%,,22.22%,44.44%,,33.33%,,0,,,0,33.33%,,,,,,9.56,,,,,,,,,,,,,,,,,,,,7.76,32,38.1,,79.86,,,,,,,,221.32,145.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,China,Hubei,41,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,EXCLUDE,Irra,,1/24/2020,43854,,reference data from another paper,Positive only,,,,,Both,All,,49,,,,,,73.00%,,,,,,,,,,,,,,32.00%,,,,,,,,,,,,,98.00%,,,76.00%,,,,44%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,China,Hubei,99,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,EXCLUDE,Irra,,1/30/2020,43860,,reference data from another paper,Positive only,,,,,,,,,55.5,,,,,,,,,,,,,,,,,,,51.00%,,,,,,,,,,,,,83.00%,,,82.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,China,Hubei,138,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,EXCLUDE,Irra,,,0,,reference data from another paper,Positive only,,,,,Both,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.60%,,,59.40%,,,,,69.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.10%,,,,,,,,,
49,0,China,,26,26例新型冠状病毒肺炎确诊病例临床和流行病学特征,中华医院感染学杂志,"庄英杰,陈竹,李进,杨兴龙,李靖,袁月,管群,贾红军,马婧怡,吴丹,马洪滨,汤紫荣",,Chinese,,Zhen,Irra,2020/01/??,before 02/12/2020,#VALUE!,Top-level,,Positive only,,,,,,,,,39.77,,,,,76.50%,,53.85%,46.15%,,,,,,,,,,,42.30%,15.38%,11.54%,,,,,,,15.38%,,,,76.92%,,,30.77%,,23.08%,11.54%,26.92%,53.85%,,11.54%,,,15.38%,11.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,China,,308,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/2020,2/20/2020,26,Top-level,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,,,52.95324675,,38.73733766,,,47.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00%,,,95.00%,,,,,67.90%,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21626328,,5.19%,,,,
50,1,China,,34,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/2020,2/20/2020,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,,,65.1,,51.8,78.4,,54.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.40909091,,36.36%,,,,
50,2,China,,87,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/2020,2/20/2020,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,,,58.4,,43.1,73.7,,54.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43103448,,4.60%,,,,
50,3,China,,98,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/2020,2/20/2020,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,,,45.8,,31.9,59.7,,43.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,0.00%,,,,
50,4,China,,90,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/2020,2/20/2020,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,,,50.3,,36.6,64,,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,0.00%,,,,
51,0,China,Hunan,697,湖南省 697 例新型冠状病毒肺炎确诊病例就诊及诊断分析,实用预防医学,刘子言，高立冬，胡世雄，罗垲炜，肖洁华，赵善露，曾舸，戴志辉，杨浩， 孙倩莱，张恒娇，邓志红,,Chinese,"No Treatment or Outcome, Can discard",Michael,Irra,12/21/2019,2/13/2020,54,Top-level,,Positive only,Active only,Both,Both,No,Both,All,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,China,Meta-study (might be possible to extract more data by looking at references in paper),"44,672",新型冠状病毒肺炎流行病学特征分析,中华流行病学杂志,中国疾病预防控制中心新冠状病毒肺炎应急响应机制流行病学组,http://html.rhhz.net/zhlxbx/004.htm,Chinese,EXCLUDE,EXCLUDE,Irra,12/31/2019,2/11/2020,42,Top-level,,Positive only,Active only,Both,Both,No,Both,All,Both,,50.92,,35,75,3.80%,51.40%,,85.20%,,,,,,,,,,,,26%,12.80%,5.30%,4.20%,,2.40%,0.50%,,,,,,,,,,,,,,,,,,,,,,,,80.90%,13.80%,4.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30%,,,,
53,0,China,Guangdong,188,Evidence and characteristics of human-to-human transmission of 2019-nCoV,MedRxiv,Kang et. al.,https://www.medrxiv.org/content/medrxiv/early/2020/02/06/2020.02.03.20019141.full.pdf,English,Patient level data in supplementary materials,Sam,,1/1/2020,1/27/2020,26,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,48.8,,,,,49.50%,,75%,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.50%,12.20%,3.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,
54,0,China,Various,9,Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China,JAMA,Wei et. al.,https://doi.org/10.1001/jama.2020.2131,English,"Only <1yr old, minimal data",Holly,,12/8/2019,2/6/2020,60,Top-level,All,Positive only,End-point and active,Survivors only,,No,Non-ICU only,Mild only,Non-ventilation only,0.58,0.56,,0.33,0.75,,22%,87.50%,,,,,,,,,,,,,,,,,,,,,,,,,,44%,,,22%,,,11%,,,,,,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,
55,0,China,Wuhan,1,A new coronavirus associated with human respiratory disease in China,Nature,Fan et. al,https://www.nature.com/articles/s41586-020-2008-3?fbclid=IwAR10YjXQeW795Vke_56S0Qz-eZzCXSosAAYpF6vuWjWH8vnGIUKWJr1BkoI,English,One patient (see Table 1); only use if we get desperate,Holly,,12/26/2019,1/7/2020,12,Top-level,All,Positive only,Active only,Survivors only,Non-discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,41,41,,,,,100%,100%,100%,,,,,,6,,,,,,,,,,,,,,,,,,,100%,,38.4,100%,100%,,100%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,100%,100%,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,100%,na,3,,,,,,,
56,0,China,Wuhan,10,Dynamic profile of severe or critical COVID-19 cases,MedRxiv,Xu,https://www.medrxiv.org/content/10.1101/2020.03.18.20038513v1,English,Can split by survivors/non survivors,Agni,,1/1/2020,2/11/2020,41,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,NA,,,,,,,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.5,5.1,138,,121,151,0,,,0.7,0.6,0.9,165,,135,219,,,,2.8,24,26,,12.1,17,,,,,,,,,,,,,,,100%,60%,60%,,,,,50%,,,100%,,,,,,,,,,,,,,,,,,,,,,,,60%,,,,20.00%,25.00%,,,
56,1,China,Wuhan,8,Dynamic profile of severe or critical COVID-19 cases,MedRxiv,Xu,https://www.medrxiv.org/content/10.1101/2020.03.18.20038513v1,English,,Agni,,1/1/2020,2/11/2020,41,Subgroup,Survivors,Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,Severe/Critical Only,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.2,5,138,,126,150,0,,,0.8,0.7,0.9,167,,150,221,,,,2.6,21,23,,10.1,13,,,,,,,,,,,,,,,100%,,75%,,,,,37.50%,,,100%,,,,,,,,,,,,,,,,,,,,,,,,75%,,,,0.00%,0.00%,,,
56,2,China,Wuhan,2,Dynamic profile of severe or critical COVID-19 cases,MedRxiv,Xu,https://www.medrxiv.org/content/10.1101/2020.03.18.20038513v1,English,,Agni,,1/1/2020,2/11/2020,41,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.5,5.7,137,,128,146,0,,,0.7,0.6,0.8,170,,121,219,,,,4.3,28,30,,25.5,21,,,,,,,,,,,,,,,100%,,0%,,,,,100%,,,100%,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,100.00%,100.00%,,,
57,0,China,Guizhou,162,"Epidemiologic Characteristics of COVID-19 in Guizhou, China",MedRxiv,Ping et. al.,https://www.medrxiv.org/content/10.1101/2020.03.01.20028944v1.full.pdf,English,"No treatment or outcomes, and features very sparse. Recommend dropping",Ted,,1/21/2020,2/16/2020,26,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,37,,,,,,50.62%,91.35%,51.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,
58,0,China,Shanghai,148,Clinical Features of COVID-19-Related Liver Damage,Lancet,Fan et. al,https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2.full.pdf,English,Split by liver functions,Ted,,1/20/2020,1/31/2020,11,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,50.5,,,36,64,,49.30%,,,,,,,,,5,3,7,,,,,,,,,,,,,,,,70.30%,,,45.30%,,,26.70%,,,,4.10%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,39.20%,21%,,,,,,,,,,,,,,,,,,,,,,,44.60%,,,,,,,,,62.84%,,12,,0.68%,1.07%,,,
58,1,China,Shanghai,75,Clinical Features of COVID-19-Related Liver Damage,Lancet,Fan et. al,https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2.full.pdf,English,,Ted,,1/20/2020,1/31/2020,11,Subgroup,Abnormal liver,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,,,,,,62.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,76%,,,46.67%,,,22.67%,,,,,,,,,,,,,,4.99,,,,,,,,,,0.925,0.635,1.734,,,,,,,,,,,,,,,,,,,,336,201,,,,,,,22.67%,45.33%,31.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59%,,15.14,,,,,,
58,2,China,Shanghai,73,Clinical Features of COVID-19-Related Liver Damage,Lancet,Fan et. al,https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2.full.pdf,English,,Ted,,1/20/2020,1/31/2020,11,Subgroup,Normal liver,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,,,,,,38.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,64%,,,43.84%,,,27.34%,,,,,,,,,,,,,,4.3,,,,,,,,,,1.32,1.734,1.57,,,,,,,,,,,,,,,,,,,,492,273,,,,,,,9.59%,32.88%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81%,,12.67,,,,,,
59,0,China,Wuhan,82,Clinical characteristics of 82 death cases with COVID-19,MedRxiv,Zhang et. al.,https://www.medrxiv.org/content/10.1101/2020.02.26.20028191v1.full.pdf,English,,Agni,,1/11/2020,2/10/2020,30,Top-level,Only non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,Both,Severe/Critical Only,Both,72.5,,,65,80,,65.90%,,,,,7,4,10,,,,,,,76.80%,56.10%,18.30%,20.70%,,14.60%,7.30%,,7.30%,12.20%,,,,78%,38.8,,64.60%,63.40%,,,,46.30%,,12.20%,2.30%,,4.90%,,,,,,100%,,,,,,,,,,,0.5,0.3,0.8,148.5,,102,206,13.6,10,22.9,6.8,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,,35.30%,,,100%,36.60%,4.80%,,,,,,28%,,100%,,,24.60%,,,,,,,,,100%,17.10%,0%,,5,,100.00%,100.00%,,,100%
60,0,China,Jiangxi,11,First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naïve and Experienced COVID-19 Patients,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20034041v1.full.pdf,English,Can split by naive/experienced,Matthew,,2/12/2020,3/19/2020,36,Top-level,All Survive,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,NA,,,,,,,36.40%,18.20%,,9.10%,,,,,,,,,,,18.20%,18.20%,,,,,,,,,,,,36.40%,,,36.40%,63.60%,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,0%,100%,,17.81,,0.00%,0.00%,,,
60,1,China,Jiangxi,2,First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naïve and Experienced COVID-19 Patients,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20034041v1.full.pdf,English,Naive had no prior drugs,Matthew,,2/12/2020,3/19/2020,36,Subgroup,Naive,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,NA,31,,,18,44,,50.00%,50.00%,,,,,,,,,,,,,0.00%,0.00%,,,,,,,,,,,,0.00%,,,50.00%,50.00%,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,0%,100%,,8,,0.00%,0.00%,,,
60,2,China,Jiangxi,9,First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naïve and Experienced COVID-19 Patients,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20034041v1.full.pdf,English,Prior antiviral therapy,Matthew,,2/12/2020,3/19/2020,36,Subgroup,Experienced,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,Mild only,NA,44,,,18,66,,33.30%,11.10%,,11.10%,,,,,,,,,,,22.20%,22.20%,,,,,,,,,,,,44.40%,,,33.30%,66.60%,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,0%,100%,,20,,0.00%,0.00%,,,
61,1,China,Two provinces,163,A comparative multi­center study on the clinical and imaging features of confirmed and unconfirmed patients with COVID­19,MedRxiv,Miao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040782v1.full.pdf,English,This study provides results for unconfirmed and confirmed; I would just report on confirmed,Léonard,,1/12/2020,2/13/2020,32,Subgroup,Confirmed,Positive only,Active only,Survivors only,Non-discharged only,Yes,Both,All,Both,43.8,,,,,,51.60%,,71%,38.60%,7,,,,,,,,24.8%,16.80%,,13.90%,5%,2%,,3%,1%,,0%,,,,,79%,,,59.70%,4.80%,8.10%,16.10%,24.20%,24.20%,4.80%,11.30%,,,8.10%,,,4.80%,,,6.50%,5.3,4,6.7,138.8,,122.1,155.5,1,,,1.3,0.9,1.8,178,,130.5,215.5,9.7,7.4,13.1,2.9,22,25.5,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,0.00%,,,,
62,0,China,Chongqing,167,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",MedRxiv,Tao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1.full.pdf,English,Can split by both severity and age (tables 2-3 report results for severe and asymptomatic by age),Arthur,,1/1/2020,3/1/2020,60,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,,,,,,,,32.20%,49.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.80%,13.10%,0%,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,16.68,,0.00%,0.00%,,,
62,1,China,Chongqing,2,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",MedRxiv,Tao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1.full.pdf,English,,Arthur,,1/1/2020,3/1/2020,60,Subgroup,Asymptomatic 0-14,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,,,,,,,,,0.00%,100.00%,9,,,,,,,,0.00%,,,,,,,,,,,,,,,0%,,,0.00%,0.00%,0.00%,,,0%,,,,,,,,100.00%,0.00%,0%,0%,4.66,3.81,5.5,,,,,0,,,2.925,1.91,3.94,140.5,,30,251,,,,,,,,,,,,,,,,811,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.00%,,,0,,,,,,100%,,16.5,,0.00%,0.00%,,,
62,2,China,Chongqing,2,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",MedRxiv,Tao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1.full.pdf,English,,Arthur,,1/1/2020,3/1/2020,60,Subgroup,Asymptomatic 15-29,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,,,,,,,,,50.00%,50.00%,8.5,,,,,,,,0.00%,,,,,,,,,,,,,,,0%,,,0.00%,0.00%,0.00%,,,0%,,,,,,,,100.00%,0.00%,0%,0%,3.9,,,,,,,0,,,1.63,1.21,2.05,166,,,,,,,46.80%,,,,,,,,,,,,691,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.00%,,,0,,,,,,100%,,10.5,,0.00%,0.00%,,,
62,3,China,Chongqing,2,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",MedRxiv,Tao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1.full.pdf,English,,Arthur,,1/1/2020,3/1/2020,60,Subgroup,Asymptomatic 30-39,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,,,,,,,,,50.00%,0.00%,20.5,,,,,,,,50.00%,,,,,,,,,,,,,,,0%,,,0.00%,0.00%,0.00%,,,0%,,,,,,,,100.00%,0.00%,0%,0%,7.105,5.11,9.1,,,,,0,,,2.135,1.31,2.96,229,,221,237,,,,62.15%,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.00%,,,0,,,,,,100%,,16,,0.00%,0.00%,,,
62,4,China,Chongqing,6,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",MedRxiv,Tao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1.full.pdf,English,,Arthur,,1/1/2020,3/1/2020,60,Subgroup,Asymptomatic 40-49,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,,,,,,,,,0.00%,66.70%,8.8,,,,,,,,33.30%,,,,,,,,,,,,,,,0%,,,0.00%,0.00%,0.00%,,,0%,,,,,,,,100.00%,0.00%,0%,0%,5.9,4.11,6.27,,,,,0,,,1.3,0.96,1.99,183,,87,328,,,,63.00%,,,,,,,,,,,,433,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,16.70%,,0.00%,,,0,,,,,,100%,,12.2,,0.00%,0.00%,,,
62,5,China,Chongqing,5,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",MedRxiv,Tao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1.full.pdf,English,,Arthur,,1/1/2020,3/1/2020,60,Subgroup,Asymptomatic 50-59,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,,,,,,,,,0.00%,80.00%,7,,,,,,,,40.00%,,,,,,,,,,,,,,,0%,,,0.00%,0.00%,0.00%,,,0%,,,,,,,,100.00%,0.00%,0%,0%,6.42,6.68,9.4,,,,,0,,,2.04,2.03,3,197,,192,198,,,,62.50%,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.00%,,,0,,,,,,100%,,11.6,,0.00%,0.00%,,,
62,6,China,Chongqing,3,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",MedRxiv,Tao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1.full.pdf,English,,Arthur,,1/1/2020,3/1/2020,60,Subgroup,Asymptomatic 70+,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,,,,,,,,,0.00%,100.00%,13.7,,,,,,,,0.00%,,,,,,,,,,,,,,,0%,,,0.00%,0.00%,0.00%,,,0%,,,,,,,,100.00%,0.00%,0%,0%,5.19,5.17,8.05,,,,,0,,,0.83,0.78,2.57,,,,,,,,69.20%,,,,,,,,,,,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0.00%,,,0,,,,,,100%,,19,,0.00%,0.00%,,,
